,用户编号, 电影ID, 电影名称, 电影连接, 用户状态, 用户评分,片名,连接,类型,国家,年份,主演,导演,编剧,片长,uid,group3_item_count,group5_item_count,group3_item_group_count
10,53,6722879,Her,http://movie.douban.com/subject/6722879/,想看,None,Her,http://movie.douban.com/subject/6722879/,喜剧、爱情、科幻,美国,2013,杰昆·菲尼克斯、Lynn A. Freedman、Gabe Gomez、克里斯·帕拉特、鲁妮·玛拉、比尔·哈德尔、克里斯汀·韦格、斯嘉丽·约翰逊、艾米·亚当斯、马特·莱斯切尔、斯派克·琼斯,斯派克·琼斯,斯派克·琼斯,126分钟,53,2,2,1.0
11,53,2002743,Love in the Time of Cholera,http://movie.douban.com/subject/2002743/,想看,None,Love in the Time of Cholera,http://movie.douban.com/subject/2002743/,剧情、爱情,美国,2007,哈维尔·巴登、乔凡娜·梅索兹殴诺、列维·施瑞博尔、约翰·雷吉扎莫、本杰明·布拉特、劳拉·哈灵,迈克·内威尔,罗纳德·哈伍德、加夫列尔·加西亚·马尔克斯,139 分钟,53,2,2,1.0
12,53,6537486,Dans la maison,http://movie.douban.com/subject/6537486/,想看,None,Dans la maison,http://movie.douban.com/subject/6537486/,剧情、悬疑、家庭,法国,2012,法布莱斯·鲁奇尼、恩斯特·吴默埃、克里斯汀·斯科特·托马斯、艾玛纽尔·塞尼耶、丹尼斯·门诺切特、巴斯蒂安·乌盖托、让-弗朗索瓦·巴尔梅、友兰达·梦露,弗朗索瓦·欧容,胡安·梅约加、弗朗索瓦·欧容,105分钟,53,2,2,1.0
13,53,2997076,The Wolf of Wall Street,http://movie.douban.com/subject/2997076/,想看,None,The Wolf of Wall Street,http://movie.douban.com/subject/2997076/,剧情、喜剧、传记、犯罪,美国,2013,莱昂纳多·迪卡普里奥、乔纳·希尔、玛格特·罗比、马修·麦康纳、凯尔·钱德勒、罗伯·莱纳、乔·博恩瑟、让·杜雅尔丹,马丁·斯科塞斯,特伦斯·温特、乔丹·贝尔福特,180分钟,53,2,2,1.0
14,53,4917726,??,http://movie.douban.com/subject/4917726/,想看,None,??,http://movie.douban.com/subject/4917726/,剧情,韩国,2011,沈恩京、闵孝琳、姜素拉、南宝拉、陈熙京、金时厚、柳好贞、朴真珠,姜炯哲,姜炯哲,124分钟,53,2,2,1.0
15,53,4913185,Carnage,http://movie.douban.com/subject/4913185/,想看,None,Carnage,http://movie.douban.com/subject/4913185/,剧情、喜剧、家庭,法国、德国、波兰、西班牙,2011,朱迪·福斯特、凯特·温丝莱特、克里斯托弗·沃尔兹、约翰·C·赖利,罗曼·波兰斯基,罗曼·波兰斯基、雅丝米娜·雷札,80分钟,53,2,2,1.0
16,53,5912992,???,http://movie.douban.com/subject/5912992/,想看,None,???,http://movie.douban.com/subject/5912992/,剧情,韩国,2011,孔侑、郑有美、金智英、金贤秀、郑仁絮、白承焕、张光、严孝燮,黄东赫,孔志英、黄东赫,125分钟,53,2,2,1.0
17,53,2051554,True,http://movie.douban.com/subject/2051554/,想看,None,True,http://movie.douban.com/subject/2051554/,短片、爱情,法国、德国,2004,娜塔莉·波特曼、Melchior Beslon,汤姆·提克威,汤姆·提克威,10分钟,53,2,2,1.0
18,53,3707070,J'ai tué ma mère,http://movie.douban.com/subject/3707070/,想看,None,J'ai tué ma mère,http://movie.douban.com/subject/3707070/,剧情、同性、家庭、传记,加拿大,2009,格扎维埃·多兰、安妮·杜尔瓦勒、弗朗索瓦·阿诺德、苏珊娜·克莱蒙、帕翠西卡·图拉斯内、尼尔斯·施内德 、Monique Spaziani,泽维尔·多兰  Xavier Dolan,泽维尔·多兰  Xavier Dolan,96分钟,53,2,2,1.0
19,53,1293993,A Little Princess,http://movie.douban.com/subject/1293993/,看过,4,A Little Princess,http://movie.douban.com/subject/1293993/,剧情、家庭、奇幻,美国,1995,利塞尔·马修斯,阿方索·卡隆,Elizabeth Chandler、Frances Hodgson Burnett、理查德·拉·格拉文斯,97 分钟,53,2,2,1.0
20,53,24875629,Aningaaq,http://movie.douban.com/subject/24875629/,看过,3,Aningaaq,http://movie.douban.com/subject/24875629/,剧情、短片,美国,2013,奥托·伊格内修森 Orto Ignatiussen、拉雅·兰格、马利加·F·L·西格斯塔、桑德拉·布洛克,霍纳斯·卡隆,霍纳斯·卡隆,7分钟,53,2,2,1.0
21,53,1292226,2001: A Space Odyssey,http://movie.douban.com/subject/1292226/,想看,None,2001: A Space Odyssey,http://movie.douban.com/subject/1292226/,冒险、悬疑、科幻,美国、英国,1968,凯尔·杜拉、加里·洛克伍德、威廉姆·西尔维斯特、Daniel Richter、雷纳德·洛塞特,斯坦利·库布里克,亚瑟·克拉克、斯坦利·库布里克,141 分钟,53,2,2,1.0
22,53,10771216,郊遊,http://movie.douban.com/subject/10771216/,想看,None,郊遊,http://movie.douban.com/subject/10771216/,剧情,台湾、法国,2013,李康生、陆弈静、陈湘琪、杨贵媚、李奕?、李奕婕,蔡明亮,蔡明亮,138分钟,53,2,2,1.0
23,53,24324730,Ilo Ilo,http://movie.douban.com/subject/24324730/,想看,None,Ilo Ilo,http://movie.douban.com/subject/24324730/,剧情、家庭,新加坡,2013,许家乐、安吉莉·芭雅妮、杨雁雁、陈天文,陈哲艺,陈哲艺,99分钟,53,2,2,1.0
24,53,1292062,American Beauty,http://movie.douban.com/subject/1292062/,看过,5,American Beauty,http://movie.douban.com/subject/1292062/,剧情,美国,1999,凯文·史派西、安妮特·贝宁、索拉·伯奇、米娜·苏瓦丽、克里斯·库珀、韦斯·本特利、彼得·盖勒、艾莉森·珍妮、斯科特·巴库拉、山姆·洛巴兹、巴里·德尔·舍曼,萨姆·门德斯,艾伦·鲍尔,122 分钟,53,2,2,1.0
25,53,1922152,Definitely  Maybe,http://movie.douban.com/subject/1922152/,看过,3,,,,,,,,,,53,2,2,1.0
26,53,3364223,The Great Gatsby,http://movie.douban.com/subject/3364223/,看过,5,The Great Gatsby,http://movie.douban.com/subject/3364223/,剧情、爱情,澳大利亚、美国,2013,莱昂纳多·迪卡普里奥、凯瑞·穆里根、托比·马奎尔、艾拉·菲舍尔、乔尔·埃哲顿、卡兰·麦克奥利菲、阿米达普·巴真、杰森·克拉科、伊丽莎白·德比茨基、嘉玛·沃德,巴兹·鲁赫曼,巴兹·鲁赫曼、克雷格·皮尔斯、F·司各特·菲茨杰拉德,141分钟(中国大陆),53,2,2,1.0
27,53,2037012,Revolutionary Road,http://movie.douban.com/subject/2037012/,看过,3,Revolutionary Road,http://movie.douban.com/subject/2037012/,剧情、爱情,美国、英国,2008,莱昂纳多·迪卡普里奥、凯特·温丝莱特、迈克尔·珊农、芮安·辛普金斯、克里斯托弗·菲茨杰拉德、凯西·贝茨、泰·辛普金斯、佐伊·卡赞,萨姆·门德斯,贾斯汀·海瑟、理查德·耶茨,119 分钟,53,2,2,1.0
28,53,1292718,A River Runs Through It,http://movie.douban.com/subject/1292718/,想看,None,A River Runs Through It,http://movie.douban.com/subject/1292718/,剧情、家庭,美国,1992,布拉德·皮特、克莱格·谢佛、汤姆·斯凯里特、布兰达·布莱斯、伊迪·迈克莱尔、约瑟夫·高登-莱维特、艾米丽·劳伊德、斯蒂芬·谢伦,罗伯特·雷德福,理查德·弗雷登伯格,123分钟,53,2,2,1.0
29,53,1299327,Interview with the Vampire: The Vampire Chronicles,http://movie.douban.com/subject/1299327/,想看,None,Interview with the Vampire: The Vampire Chronicles,http://movie.douban.com/subject/1299327/,爱情、恐怖,美国,1994,布拉德·皮特、汤姆·克鲁斯、克斯汀·邓斯特、安东尼奥·班德拉斯、坦迪·牛顿、克里斯蒂安·史莱特,尼尔·乔丹,安妮·莱斯,123 分钟,53,2,2,1.0
30,53,1291992,Thelma & Louise,http://movie.douban.com/subject/1291992/,看过,4,Thelma & Louise,http://movie.douban.com/subject/1291992/,犯罪、剧情、惊悚,美国、法国,1991,吉娜·戴维斯、苏珊·萨兰登、哈威·凯特尔、迈克尔·马德森、布拉德·皮特,雷德利·斯科特,卡莉·克里,130 分钟,53,2,2,1.0
31,53,2974278,Blue Valentine,http://movie.douban.com/subject/2974278/,想看,None,Blue Valentine,http://movie.douban.com/subject/2974278/,剧情、爱情、家庭,美国,2010,瑞恩·高斯林、米歇尔·威廉姆斯、费丝·瓦拉迪卡、约翰·道曼、迈克·沃格尔、Marshall Johnson、Jen Jones、Maryann Plunkett,德里克·斯安弗朗斯,德里克·斯安弗朗斯、Joey Curtis、Cami Delavigne,112分钟,53,2,2,1.0
32,53,1418834,Brokeback Mountain,http://movie.douban.com/subject/1418834/,看过,4,Brokeback Mountain,http://movie.douban.com/subject/1418834/,剧情、爱情、同性、家庭,加拿大、美国,2005,希斯·莱杰、杰克·吉伦哈尔、米歇尔·威廉姆斯、安妮·海瑟薇、凯特·玛拉、兰迪·奎德、琳达·卡德里尼、安娜·法瑞丝、格拉汉姆·贝克尔、斯科特·迈克尔·坎贝尔、大卫·哈伯、Roberta Maxwell、皮特·麦克罗比,李安,拉里·麦克穆特瑞、Diana Ossana、Annie Proulx,134分钟,53,2,2,1.0
33,53,1298973,Lilya 4-ever,http://movie.douban.com/subject/1298973/,想看,None,Lilya 4-ever,http://movie.douban.com/subject/1298973/,犯罪、剧情,瑞典、丹麦,2002,奥莎娜·阿金什那、Artyom Bogucharsky,鲁卡斯·穆迪森,鲁卡斯·穆迪森,109 分钟,53,2,2,1.0
34,53,7015732,Marina Abramovi?: The Artist Is Present,http://movie.douban.com/subject/7015732/,想看,None,Marina Abramovi?: The Artist Is Present,http://movie.douban.com/subject/7015732/,纪录片、传记,美国,2012,玛瑞娜·阿布拉莫维奇、Ulay、Klaus Biesenbach、David Balliano、Chrissie Iles、Arthur Danto、大卫·布雷恩、詹姆斯·弗兰科,Matthew Akers、Jeff Dupre,,106分钟,53,2,2,1.0
35,53,1460030,Inside I'm Dancing,http://movie.douban.com/subject/1460030/,想看,None,Inside I'm Dancing,http://movie.douban.com/subject/1460030/,喜剧、剧情,英国、爱尔兰、法国,2004,詹姆斯·麦卡沃伊、史蒂文·罗伯特森、萝玛拉·嘉瑞,Damien O'Donnell,Christian O'Reilly,104分钟,53,2,2,1.0
36,53,6829652,女朋友○男朋友,http://movie.douban.com/subject/6829652/,看过,3,女朋友○男朋友,http://movie.douban.com/subject/6829652/,剧情、爱情、同性,台湾,2012,桂纶镁、张孝全、凤小岳、张书豪,杨雅喆,杨雅喆,106分钟,53,2,2,1.0
37,53,1300605,Damage,http://movie.douban.com/subject/1300605/,想看,None,Damage,http://movie.douban.com/subject/1300605/,剧情、爱情,英国、法国,1992,杰瑞米·艾恩斯、朱丽叶·比诺什、米兰达·理查森、拉珀特·格雷夫斯、伊安·邦纳、彼得·斯特曼、婕玛·克拉克、朱利安·费罗斯、莱斯利·卡伦、托尼·道尔、雷·葛拉维、苏珊·恩格尔,路易·马勒,戴维·黑尔、约瑟芬·哈特,111 分钟,53,2,2,1.0
38,53,1306583,Histoire d'O,http://movie.douban.com/subject/1306583/,看过,2,Histoire d'O,http://movie.douban.com/subject/1306583/,剧情,法国、西德、加拿大,1975,柯瑞妮·克莱瑞、乌多·奇尔、安东尼·斯特尔,贾斯特·杰克金,塞巴斯蒂安·雅普瑞索,Australia: 105 分钟(2000 uncut re-release),53,2,2,1.0
39,53,10733376,逆光飛翔,http://movie.douban.com/subject/10733376/,看过,5,逆光飛翔,http://movie.douban.com/subject/10733376/,剧情、爱情,台湾,2012,张榕容、黄裕翔、李烈、许芳宜、柯淑勤 、纳豆、黄采仪、尹馨,张荣吉,李念修,107分钟(中国大陆),53,2,2,1.0
40,53,4848115,おまえうまそうだな,http://movie.douban.com/subject/4848115/,看过,5,おまえうまそうだな,http://movie.douban.com/subject/4848115/,剧情、动画、儿童,日本,2010,山口胜平、加藤清史郎、原田知世、別所哲也,藤森雅也,宮西達也,90分钟,53,2,2,1.0
41,53,3154003,Prayers for Bobby,http://movie.douban.com/subject/3154003/,想看,None,Prayers for Bobby,http://movie.douban.com/subject/3154003/,剧情、传记,美国,2009,西格妮·韦弗、亨利·科泽尼、瑞恩·凯利、丹·巴特勒、奥斯汀·尼可斯,拉塞尔·穆卡希,Katie Ford、Leroy Aarons,85分钟,53,2,2,1.0
42,53,3072124,Mary and Max,http://movie.douban.com/subject/3072124/,看过,5,Mary and Max,http://movie.douban.com/subject/3072124/,剧情、喜剧、爱情、动画,澳大利亚,2009,托妮·克莱特、菲利普·塞默·霍夫曼、艾瑞克·巴纳、Bethany Whitmore,亚当·艾略特,亚当·艾略特,Australia: 80 分钟,53,2,2,1.0
43,53,2297265,Die Welle,http://movie.douban.com/subject/2297265/,想看,None,Die Welle,http://movie.douban.com/subject/2297265/,剧情、惊悚,德国,2008,约根·沃格尔、詹妮弗·乌尔里希、马克思·雷迈特、克里斯蒂安妮·保罗、Frederick Lau,丹尼斯·甘塞尔,丹尼斯·甘塞尔、Peter Thorwarth、Todd Strasser,107 分钟,53,2,2,1.0
44,53,10535568,La vie d'Adèle,http://movie.douban.com/subject/10535568/,看过,3,La vie d'Adèle,http://movie.douban.com/subject/10535568/,剧情、爱情、同性,法国、比利时、西班牙,2013,阿黛尔·艾克萨勒霍布洛斯、蕾雅·赛杜、沙利姆·克齐欧彻、热雷米·拉厄尔特、凯瑟琳·沙列、奥雷利安·雷克因、莫娜·瓦尔拉芬斯·、阿尔玛·佐杜洛夫斯基、安妮·卢瓦雷、本杰明·思科索、桑德尔·丰泰克,阿布戴·柯西胥,茱莉·马罗、阿布戴·柯西胥、加利亚·拉克鲁瓦,179分钟,53,2,2,1.0
45,53,1307528,盲井,http://movie.douban.com/subject/1307528/,想看,None,盲井,http://movie.douban.com/subject/1307528/,犯罪、剧情,中国大陆、德国、香港,2003,王双宝、王宝强、李易祥、安静、赵军,李杨,李杨,92 分钟,53,2,2,1.0
46,53,1292272,Elephant,http://movie.douban.com/subject/1292272/,想看,None,Elephant,http://movie.douban.com/subject/1292272/,犯罪、剧情,美国,2003,阿里克斯·弗罗斯特、约翰·罗宾森、埃里克·德伦、伊里斯·麦康利,格斯·范·桑特,格斯·范·桑特,81 分钟,53,2,2,1.0
47,53,1301578,Ocean's Eleven,http://movie.douban.com/subject/1301578/,想看,None,Ocean's Eleven,http://movie.douban.com/subject/1301578/,动作、犯罪,美国,2001,乔治·克鲁尼、布拉德·皮特、马特·达蒙、朱莉娅·罗伯茨、安迪·加西亚、卡西·阿弗莱克、伯尼·麦克、秦少波、唐·钱德尔、斯科特·凯恩、埃利奥特·古尔德,史蒂文·索德伯格,泰德·格里芬、Harry Brown、查尔斯·莱德勒,116 分钟,53,2,2,1.0
48,53,1417598,Saw,http://movie.douban.com/subject/1417598/,想看,None,Saw,http://movie.douban.com/subject/1417598/,犯罪、悬疑、恐怖,美国、澳大利亚,2004,雷·沃纳尔、加利·艾尔维斯、丹尼·格洛弗、莫妮卡·波特、戴安· 梅尔、托宾·贝尔、肖妮·史密斯、肯·梁、麦肯兹·韦加、迈克尔·爱默生、亚丽姗卓·全,温子仁,温子仁、雷·沃纳尔,103 分钟,53,2,2,1.0
49,53,1295045,The Talented Mr. Ripley,http://movie.douban.com/subject/1295045/,想看,None,The Talented Mr. Ripley,http://movie.douban.com/subject/1295045/,犯罪、剧情、惊悚,美国,1999,马特·达蒙、格温妮斯·帕特洛、裘德·洛、凯特·布兰切特、菲利普·塞默·霍夫曼、杰克·达文波特、菲利浦·贝克·霍尔,安东尼·明格拉,安东尼·明格拉、派翠西亚·海史密斯,139 分钟,53,2,2,1.0
50,53,1760622,Perfume: The Story of a Murderer,http://movie.douban.com/subject/1760622/,看过,4,Perfume: The Story of a Murderer,http://movie.douban.com/subject/1760622/,剧情、奇幻,德国、法国、西班牙、美国,2006,本·卫肖、艾伦·瑞克曼、蕾切儿·哈伍德、达斯汀·霍夫曼、大卫·卡尔德、波奇特·密尼梅雅、Carlos Gramaje、西恩·托马斯、佩里·米尔沃德、山姆·道格拉斯、卡洛琳·赫弗斯、Carolina Vera Squella、莎拉·弗里斯蒂、科琳娜·哈弗奇、洁西卡·史瓦兹、杰罗姆·威利斯,汤姆·提克威,安德鲁·伯金、伯纳德·艾辛格、汤姆·提克威,147分钟,53,2,2,1.0
51,53,1296217,Primal Fear,http://movie.douban.com/subject/1296217/,想看,None,Primal Fear,http://movie.douban.com/subject/1296217/,犯罪、剧情、悬疑、惊悚,美国,1996,理查·基尔、爱德华·诺顿、劳拉·琳妮、弗兰西斯·麦克多蒙德、约翰·马奥尼,格里高利·霍布里特,斯蒂夫·沙甘、安·白德曼,129 分钟,53,2,2,1.0
52,53,1292217,Mulholland Dr.,http://movie.douban.com/subject/1292217/,看过,4,Mulholland Dr.,http://movie.douban.com/subject/1292217/,剧情、悬疑、惊悚、同性,法国、美国,2001,娜奥米·沃茨、劳拉·哈灵、安·米勒、贾斯汀·塞洛克斯、斯科特·科菲、梅利莎·乔治、布兰特·布里斯科、罗伯特·福斯特、凯瑟琳·汤、李·格兰特、比利·雷·赛勒斯、查德·艾微特、丽塔·塔格特、詹姆斯·凯伦、洛里·海瑞、安琪洛·巴达拉曼提、迈克尔·德·巴雷斯、马库斯·格雷厄姆、丹·哈达亚、马克·佩雷格里诺,大卫·林奇,大卫·林奇,147 分钟,53,2,2,1.0
53,53,1466007,Silent Hill,http://movie.douban.com/subject/1466007/,想看,None,Silent Hill,http://movie.douban.com/subject/1466007/,剧情、奇幻、恐怖、悬疑、惊悚,美国、法国、日本、加拿大,2006,祖蒂·弗兰、拉妲·米契尔、劳瑞·侯登、黛博拉·卡拉·安格、Tanya Allen、肖恩·宾,克里斯多夫·甘斯,罗杰·阿夫瑞,125 分钟,53,2,2,1.0
54,53,1780330,The Prestige,http://movie.douban.com/subject/1780330/,看过,4,The Prestige,http://movie.douban.com/subject/1780330/,剧情、奇幻、悬疑、惊悚,美国、英国,2006,克里斯蒂安·贝尔、休·杰克曼、迈克尔·凯恩、斯嘉丽·约翰逊、丽贝卡·豪尔、大卫·鲍伊、安迪·瑟金斯,克里斯托弗·诺兰,乔纳森·诺兰、克里斯托弗·诺兰,130分钟,53,2,2,1.0
55,53,1291850,站台,http://movie.douban.com/subject/1291850/,想看,None,站台,http://movie.douban.com/subject/1291850/,剧情、历史,中国、香港、日本、法国,2000,王宏伟、赵涛、梁景东、杨天乙、韩三明,贾樟柯,贾樟柯,154分钟,53,2,2,1.0
56,53,6973376,致我们终将逝去的青春,http://movie.douban.com/subject/6973376/,看过,2,致我们终将逝去的青春,http://movie.douban.com/subject/6973376/,剧情、爱情,中国大陆,2013,杨子姗、赵又廷、韩庚、江疏影、刘雅瑟、张瑶、包贝尔、郑恺、王嘉佳、黄明、佟丽娅、王森、黄小蕾、韩红、杨澜、宫哲、崔文璐,赵薇,李樯,132分钟,53,2,2,1.0
57,53,6549903,Argo,http://movie.douban.com/subject/6549903/,想看,None,Argo,http://movie.douban.com/subject/6549903/,剧情、惊悚、历史,美国,2012,本·阿弗莱克、布莱恩·科兰斯顿、凯尔·钱德勒、约翰·古德曼、克里·杜瓦尔、艾伦·阿金、罗利·科奇瑞恩、克里斯托弗·邓汉、维克多·加博、凯瑞·碧许、泰特·多诺万、克里斯·梅西纳,本·阿弗莱克,克里斯·特里奥、约书亚·比尔曼,120分钟,53,2,2,1.0
58,53,1291828,Nuovo Cinema Paradiso,http://movie.douban.com/subject/1291828/,看过,4,Nuovo Cinema Paradiso,http://movie.douban.com/subject/1291828/,剧情,意大利、法国,1988,萨瓦特利·卡西欧、恩佐·卡拉瓦勒、马克·莱昂纳蒂、菲利浦·诺瓦雷、安东娜拉·塔莉、雅克·贝汉,朱塞佩·托纳多雷,Carl Paoli、朱塞佩·托纳多雷,155 分钟,53,2,2,1.0
59,53,10574468,北京遇上西雅图,http://movie.douban.com/subject/10574468/,看过,3,北京遇上西雅图,http://movie.douban.com/subject/10574468/,喜剧、爱情,中国大陆,2013,汤唯、吴秀波、海清、宋美曼、宋美慧、金燕玲、买红妹、布拉德·哈德、李绮虹,薛晓路,薛晓路,123分钟,53,2,2,1.0
60,53,6860160,Les Misérables,http://movie.douban.com/subject/6860160/,看过,5,Les Misérables,http://movie.douban.com/subject/6860160/,剧情、爱情、音乐,美国、英国,2012,休·杰克曼、罗素·克劳、安妮·海瑟薇、阿曼达·塞弗里德、埃迪·雷德梅恩、海伦娜·邦汉·卡特、萨莎·拜伦·科恩、萨曼莎·巴克斯、艾伦·特维特、康姆·威尔金森、伊莎贝尔·艾伦、丹尼尔·赫特斯通,汤姆·霍珀,威廉姆·尼克尔森 、赫伯特·克莱茨莫、克劳德-米歇尔·勋伯格、阿兰·布伯里勒、维克多·雨果,157分钟,53,2,2,1.0
61,53,7015798,Searching for Sugar Man,http://movie.douban.com/subject/7015798/,想看,None,Searching for Sugar Man,http://movie.douban.com/subject/7015798/,纪录片、音乐、传记,瑞典、英国,2012,Steve Segerman、Dennis Coffey、Mike Theodore、Dan Dimaggio、Jerome Ferretti、Steve Rowland、Willem M?ller、Rodriguez,马利克·本德杰鲁,,86分钟,53,2,2,1.0
62,53,3530403,Cloud Atlas,http://movie.douban.com/subject/3530403/,看过,4,Cloud Atlas,http://movie.douban.com/subject/3530403/,剧情、科幻、悬疑,德国、美国、香港、新加坡,2012,汤姆·汉克斯、哈莉·贝瑞、吉姆·布劳德本特、雨果·维文、吉姆·斯特吉斯、裴斗娜、本·卫肖、詹姆斯·达西、周迅、凯斯·大卫、大卫·吉雅西、苏珊·萨兰登、休·格兰特,汤姆·提克威、拉娜·沃卓斯基、安迪·沃卓斯基,汤姆·提克威、安迪·沃卓斯基、拉娜·沃卓斯基,134分钟(中国大陆),53,2,2,1.0
63,53,1920796,P.S. I Love You,http://movie.douban.com/subject/1920796/,想看,None,P.S. I Love You,http://movie.douban.com/subject/1920796/,剧情、爱情,美国,2007,希拉里·斯万克、杰拉德·巴特勒、凯西·贝茨、莉莎·库卓、吉娜·格申、杰弗里·迪恩·摩根、小哈里·康尼克,理查德·拉·格拉文斯,理查德·拉·格拉文斯、斯蒂芬·罗杰斯,126 分钟,53,2,2,1.0
64,53,1297102,The Parent Trap,http://movie.douban.com/subject/1297102/,看过,3,The Parent Trap,http://movie.douban.com/subject/1297102/,剧情、儿童、喜剧、爱情、家庭,美国,1998,琳赛·露安、丹尼斯·奎德、娜塔莎·理查德森、伊莲·亨德里克斯、丽萨·安·沃尔特、西蒙·坤茨、罗尼·斯蒂芬斯、玛姬·惠勒,南希·迈耶斯,查尔斯·谢尔、大卫·斯威夫特、伊利奇·卡斯特纳、南希·迈耶斯,127分钟,53,2,2,1.0
65,53,4728518,人山人海,http://movie.douban.com/subject/4728518/,看过,4,人山人海,http://movie.douban.com/subject/4728518/,剧情、悬疑、犯罪,中国大陆,2011,陈建斌、陶虹、吴秀波、李虎城 、鲍振江 、章鑫 、李彦明、王迅,蔡尚君,顾小白、蔡尚君、顾峥,91分钟,53,2,2,1.0
66,53,10537853,万箭穿心,http://movie.douban.com/subject/10537853/,看过,5,万箭穿心,http://movie.douban.com/subject/10537853/,剧情、家庭,中国大陆,2012,颜丙燕、陈刚、焦刚、李现、赵倩、王沫溪,王竞,吴楠,118分钟,53,2,2,1.0
67,53,3821067,一代宗師,http://movie.douban.com/subject/3821067/,看过,3,一代宗師,http://movie.douban.com/subject/3821067/,剧情、动作、传记,中国大陆、香港,2013,梁朝伟、章子怡、张震、宋慧乔、赵本山、小沈阳、王庆祥、张晋、卢海鹏、冯克安、刘家勇、张智霖、金士杰、徐锦江、刘洵、尚铁龙、罗莽、吴廷烨,王家卫,邹静之、徐皓峰、王家卫,130分钟(中国大陆),53,2,2,1.0
68,53,1308076,蓝宇,http://movie.douban.com/subject/1308076/,想看,None,蓝宇,http://movie.douban.com/subject/1308076/,剧情、爱情、同性,中国大陆、香港,2001,胡军、刘烨、苏瑾、李华彤、卢芳、张永宁、李爽,关锦鹏,魏绍恩,96分钟,53,2,2,1.0
69,53,6307447,Django Unchained,http://movie.douban.com/subject/6307447/,想看,None,Django Unchained,http://movie.douban.com/subject/6307447/,剧情、动作、西部、冒险,美国,2012,杰米·福克斯、莱昂纳多·迪卡普里奥、克里斯托弗·沃尔兹、塞缪尔·杰克逊、凯丽·华盛顿、沃尔顿·戈金斯、丹尼斯·克里斯托弗、乔纳·希尔、詹姆斯·瑞马尔、爱波·塔布琳、弗兰科·尼罗、罗伯特·卡拉丁、佐伊·贝尔,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,163分钟(中国大陆),53,2,2,1.0
